,Train Score,Bal Train Score,f1 Train Score,Test Score,Bal Test Score,f1 Test score
BernoilliNB,0.917,0.917,0.9100758396533044,0.9087777777777778,0.9087777777777777,0.900351984464134
MultinominalB,0.867,0.867,0.8821966341895482,0.8081111111111111,0.8081111111111111,0.8383715489003276
Logistic,0.982,0.982,0.9817813765182185,0.9596666666666667,0.9596666666666667,0.9587546869673902
KNN,0.9,0.9,0.9087591240875913,0.8365555555555556,0.8365555555555555,0.8582988151430497
Tree,1.0,1.0,1.0,0.8741111111111111,0.8741111111111111,0.8787586944890315
Bagging Tree,0.994,0.994,0.994,0.9203333333333333,0.9203333333333332,0.9220228384991843
Extra Tree,1.0,1.0,1.0,0.963,0.963,0.963175937188986
Random Forest,1.0,1.0,1.0,0.9548888888888889,0.9548888888888889,0.9544536683868073
SVC,0.998,0.998,0.9979959919839679,0.9626666666666667,0.9626666666666666,0.9617224880382775
Baseline,0.5,0.5,0.0,0.5,0.5,0.0
